run_id,dataset,retriever_type,gnn_num_layers,gnn_hidden_dim,K,ans_recall,shortest_path_triple_recall,gpt_triple_recall
l2-1,webqsp,gnn,,,50,0.911,0.828,0.804
l2-1,webqsp,gnn,,,100,0.951,0.885,0.86
l2-1,webqsp,gnn,,,200,0.975,0.934,0.91
l2-1,webqsp,gnn,,,400,0.986,0.968,0.951
l2-2,webqsp,gnn,,,50,0.896,0.816,0.781
l2-2,webqsp,gnn,,,100,0.94,0.881,0.85
l2-2,webqsp,gnn,,,200,0.967,0.929,0.904
l2-2,webqsp,gnn,,,400,0.985,0.966,0.948
l2-3,webqsp,gnn,,,50,0.91,0.827,0.806
l2-3,webqsp,gnn,,,100,0.953,0.886,0.862
l2-3,webqsp,gnn,,,200,0.973,0.932,0.911
l2-3,webqsp,gnn,,,400,0.988,0.97,0.952
l2-4,webqsp,gnn,,,50,0.901,0.824,0.794
l2-4,webqsp,gnn,,,100,0.941,0.884,0.853
l2-4,webqsp,gnn,,,200,0.969,0.93,0.899
l2-4,webqsp,gnn,,,400,0.987,0.965,0.944
l2-5,webqsp,gnn,,,50,0.917,0.828,0.803
l2-5,webqsp,gnn,,,100,0.95,0.885,0.859
l2-5,webqsp,gnn,,,200,0.973,0.937,0.907
l2-5,webqsp,gnn,,,400,0.986,0.971,0.949
l2-6,webqsp,gnn,,,50,0.906,0.827,0.797
l2-6,webqsp,gnn,,,100,0.948,0.887,0.853
l2-6,webqsp,gnn,,,200,0.973,0.937,0.907
l2-6,webqsp,gnn,,,400,0.986,0.971,0.95
l2-7,webqsp,gnn,,,50,0.905,0.816,0.796
l2-7,webqsp,gnn,,,100,0.947,0.879,0.86
l2-7,webqsp,gnn,,,200,0.972,0.931,0.906
l2-7,webqsp,gnn,,,400,0.986,0.964,0.946
l2-8,webqsp,gnn,,,50,0.897,0.826,0.797
l2-8,webqsp,gnn,,,100,0.937,0.885,0.853
l2-8,webqsp,gnn,,,200,0.967,0.935,0.904
l2-8,webqsp,gnn,,,400,0.984,0.971,0.949
l2-9,webqsp,gnn,,,50,0.911,0.827,0.807
l2-9,webqsp,gnn,,,100,0.95,0.887,0.861
l2-9,webqsp,gnn,,,200,0.973,0.935,0.911
l2-9,webqsp,gnn,,,400,0.985,0.968,0.951
l0-1,webqsp,mlp,,,50,0.882,0.814,0.784
l0-1,webqsp,mlp,,,100,0.93,0.871,0.844
l0-1,webqsp,mlp,,,200,0.96,0.919,0.893
l0-1,webqsp,mlp,,,400,0.982,0.956,0.943
l0-2,webqsp,mlp,,,50,0.895,0.829,0.804
l0-2,webqsp,mlp,,,100,0.937,0.889,0.859
l0-2,webqsp,mlp,,,200,0.969,0.937,0.915
l0-2,webqsp,mlp,,,400,0.987,0.969,0.964
l0-3,webqsp,gnn,,,50,0.896,0.827,0.811
l0-3,webqsp,gnn,,,100,0.942,0.887,0.869
l0-3,webqsp,gnn,,,200,0.969,0.937,0.922
l0-3,webqsp,gnn,,,400,0.988,0.971,0.966
l0-4,webqsp,mlp,,,50,0.913,0.836,0.809
l0-4,webqsp,mlp,,,100,0.95,0.893,0.871
l0-4,webqsp,mlp,,,200,0.972,0.938,0.926
l0-4,webqsp,mlp,,,400,0.987,0.971,0.963
l0-5,webqsp,mlp,,,50,0.896,0.839,0.813
l0-5,webqsp,mlp,,,100,0.939,0.891,0.87
l0-5,webqsp,mlp,,,200,0.968,0.937,0.921
l0-5,webqsp,mlp,,,400,0.986,0.97,0.961
l1-1,webqsp,gnn,,,50,0.916,0.833,0.816
l1-1,webqsp,gnn,,,100,0.956,0.887,0.863
l1-1,webqsp,gnn,,,200,0.975,0.937,0.917
l1-1,webqsp,gnn,,,400,0.988,0.97,0.953
l1-2,webqsp,gnn,,,50,0.914,0.834,0.806
l1-2,webqsp,gnn,,,100,0.948,0.887,0.861
l1-2,webqsp,gnn,,,200,0.973,0.938,0.911
l1-2,webqsp,gnn,,,400,0.986,0.97,0.952
l1-3,webqsp,gnn,,,50,0.92,0.837,0.805
l1-3,webqsp,gnn,,,100,0.951,0.894,0.862
l1-3,webqsp,gnn,,,200,0.974,0.94,0.911
l1-3,webqsp,gnn,,,400,0.988,0.971,0.954
l1-4,webqsp,gnn,,,50,0.913,0.831,0.806
l1-4,webqsp,gnn,,,100,0.953,0.89,0.863
l1-4,webqsp,gnn,,,200,0.972,0.938,0.912
l1-4,webqsp,gnn,,,400,0.988,0.971,0.95
l1-5,webqsp,gnn,,,50,0.918,0.837,0.811
l1-5,webqsp,gnn,,,100,0.954,0.896,0.863
l1-5,webqsp,gnn,,,200,0.976,0.941,0.908
l1-5,webqsp,gnn,,,400,0.987,0.97,0.948
